regex,rat,redos,rescue,revealer,saferegex,k
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?|)([^;]+); *([^;,\)]+)",0,1,0,0,0,1
[+-]?\d*\.\d+%?,0,1,0,0,1,2
\$?\(\([\s\S]+?\)\),0,1,0,0,0,1
\$\{[^}]+\},0,1,0,0,1,2
\(([^\(]*)\)$,0,0,0,0,1,1
\(Mobile; ALCATEL ?(One|ONE) ?(Touch|TOUCH) ?([^;\/]+)(?:\/[^;]+|); rv:[^\)]+\) Gecko\/[^\/]+ Firefox\/,0,1,0,0,0,1
\(iPad;.+(Version)\/(\d+)\.(\d+)(?:\.(\d+)|).*Safari\/,0,1,0,0,0,1
\[FB.*;(FBAV)\/(\d+)(?:\.(\d+)|)(?:\.(\d+)|),0,1,0,0,0,1
\[[^\]]*?\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>,0,1,0,0,0,1
\\\\[[^\\\\]]*?\\\\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>,0,1,0,0,1,2
\^\[[^^\[\]]*]|\^(.),0,0,0,0,1,1
\b(?:HTC\/|HTC\/[a-z0-9]+\/|)HTC[ _\-;]? *(.*?)(?:-?Mozilla|fingerPrint|[;\/\(\)]|$),0,1,0,0,0,1
\b(T-Mobile ?|)(myTouch)[ _]?([34]G)[ _]?([^\/]*) (?:Mozilla|Build),0,1,0,0,0,1
\b0b[01]+\b|\b0x[\da-f]+\b|(?:\b\d+(?:_\d+)*\.?(?:\d+(?:_\d+)*)?|\B\.\d+)(?:e[+-]?\d+)?,0,1,0,0,0,1
\w+\s+Mac OS X\s+\w+\s+(\d+).(\d+).(\d+).*,0,1,0,0,1,2
]+ Firefox,0,1,0,0,1,2
^#!\s*/.*,0,0,0,0,1,1
"^(?:(?:(?:https?|ftp):)?\/\/)(?:\S+(?::\S*)?@)?(?:(?!(?:10|127)(?:\.\d{1,3}){3})(?!(?:169\.254|192\.168)(?:\.\d{1,3}){2})(?!172\.(?:1[6-9]|2\d|3[0-1])(?:\.\d{1,3}){2})(?:[1-9]\d?|1\d\d|2[01]\d|22[0-3])(?:\.(?:1?\d{1,2}|2[0-4]\d|25[0-5])){2}(?:\.(?:[1-9]\d?|1\d\d|2[0-4]\d|25[0-4]))|(?:(?:[a-z0-9\u00a1-\uffff][a-z0-9\u00a1-\uffff_-]{0,62})?[a-z0-9\u00a1-\uffff]\.)+(?:[a-z\u00a1-\uffff]{2,}\.?))(?::\d{2,5})?(?:[\/?#]\S*)?$",0,1,0,0,0,1
^(Clementine)\S+ ([^.\s]+)\.([^.\s]+|)\.?([^.\s]+|),0,1,0,0,0,1
^(Peapod|Liferea)\/([^.\s]+)\.([^.\s]+|)\.?([^.\s]+|),0,1,0,0,0,1
^(foobar)\S+\/([^.\s]+)\.([^.\s]+|)\.?([^.\s]+|),0,1,0,0,0,1
^\s+|\s+$,0,1,0,0,0,1
^since (\d+)$,0,0,0,0,1,1
__[^_]*?__|\*\*[^\*]*?\*\*,0,0,0,0,1,1
webOS.*(P160U(?:NA|))\/(\d+).(\d+),0,1,0,0,0,1
